train: 60000 samples, test: 10000 samples
model: 12730 parameters
initial train accuracy: 13.2% (expect ~10%)
step 100 loss 2.088536, accuracy 46.875000%
step 200 loss 1.612238, accuracy 62.500000%
step 300 loss 2.042138, accuracy 37.500000%
step 400 loss 1.628626, accuracy 50.000000%
step 500 loss 1.346069, accuracy 59.375000%
step 600 loss 1.687038, accuracy 62.500000%
step 700 loss 1.388759, accuracy 71.875000%
step 800 loss 1.221304, accuracy 65.625000%
step 900 loss 1.705706, accuracy 53.125000%
step 1000 loss 1.437757, accuracy 56.250000%
step 1100 loss 1.437061, accuracy 71.875000%
step 1200 loss 1.567546, accuracy 65.625000%
step 1300 loss 1.124581, accuracy 78.125000%
step 1400 loss 1.153764, accuracy 75.000000%
step 1500 loss 0.670621, accuracy 93.750000%
step 1600 loss 0.698054, accuracy 87.500000%
step 1700 loss 1.462596, accuracy 62.500000%
step 1800 loss 1.026831, accuracy 78.125000%
step 1900 loss 1.033952, accuracy 71.875000%
step 2000 loss 0.804454, accuracy 84.375000%
step 2100 loss 0.905067, accuracy 81.250000%
step 2200 loss 0.919763, accuracy 84.375000%
step 2300 loss 0.954449, accuracy 81.250000%
step 2400 loss 1.254920, accuracy 68.750000%
step 2500 loss 0.968028, accuracy 78.125000%
step 2600 loss 0.782000, accuracy 87.500000%
step 2700 loss 0.724475, accuracy 81.250000%
step 2800 loss 1.378684, accuracy 78.125000%
step 2900 loss 0.819595, accuracy 87.500000%
step 3000 loss 0.673105, accuracy 90.625000%
step 3100 loss 0.637684, accuracy 90.625000%
step 3200 loss 1.018073, accuracy 87.500000%
step 3300 loss 0.728928, accuracy 84.375000%
step 3400 loss 0.939521, accuracy 84.375000%
step 3500 loss 0.812117, accuracy 87.500000%
step 3600 loss 1.093234, accuracy 81.250000%
step 3700 loss 0.782568, accuracy 90.625000%
step 3800 loss 0.916011, accuracy 75.000000%
step 3900 loss 0.883369, accuracy 90.625000%
step 4000 loss 0.720881, accuracy 93.750000%
step 4100 loss 1.169541, accuracy 78.125000%
step 4200 loss 0.783491, accuracy 93.750000%
step 4300 loss 1.177251, accuracy 68.750000%
step 4400 loss 0.802405, accuracy 87.500000%
step 4500 loss 0.625873, accuracy 90.625000%
step 4600 loss 1.249352, accuracy 75.000000%
step 4700 loss 0.765174, accuracy 90.625000%
step 4800 loss 0.657322, accuracy 90.625000%
step 4900 loss 0.854133, accuracy 78.125000%
step 5000 loss 0.947919, accuracy 93.750000%
step 5100 loss 0.881604, accuracy 78.125000%
step 5200 loss 0.711566, accuracy 84.375000%
step 5300 loss 0.891377, accuracy 75.000000%
step 5400 loss 0.858407, accuracy 81.250000%
step 5500 loss 0.700714, accuracy 90.625000%
step 5600 loss 0.678039, accuracy 90.625000%
step 5700 loss 0.978849, accuracy 84.375000%
step 5800 loss 0.707118, accuracy 87.500000%
step 5900 loss 0.731792, accuracy 90.625000%
step 6000 loss 0.654475, accuracy 90.625000%
step 6100 loss 0.524564, accuracy 93.750000%
step 6200 loss 0.572320, accuracy 96.875000%
step 6300 loss 1.068093, accuracy 78.125000%
step 6400 loss 0.780827, accuracy 90.625000%
step 6500 loss 0.862016, accuracy 87.500000%
step 6600 loss 0.729798, accuracy 84.375000%
step 6700 loss 1.004236, accuracy 84.375000%
step 6800 loss 0.582002, accuracy 90.625000%
step 6900 loss 0.815759, accuracy 84.375000%
step 7000 loss 0.725145, accuracy 90.625000%
step 7100 loss 0.646594, accuracy 93.750000%
step 7200 loss 0.635423, accuracy 96.875000%
step 7300 loss 0.741913, accuracy 90.625000%
step 7400 loss 0.803225, accuracy 81.250000%
step 7500 loss 0.789833, accuracy 90.625000%
step 7600 loss 0.914390, accuracy 84.375000%
step 7700 loss 0.622728, accuracy 93.750000%
step 7800 loss 0.757186, accuracy 90.625000%
step 7900 loss 0.592451, accuracy 90.625000%
step 8000 loss 0.702265, accuracy 93.750000%
step 8100 loss 0.616324, accuracy 96.875000%
step 8200 loss 0.788351, accuracy 81.250000%
step 8300 loss 0.718234, accuracy 84.375000%
step 8400 loss 0.648163, accuracy 93.750000%
step 8500 loss 0.752525, accuracy 90.625000%
step 8600 loss 0.896361, accuracy 78.125000%
step 8700 loss 0.539280, accuracy 96.875000%
step 8800 loss 1.163888, accuracy 81.250000%
step 8900 loss 0.543599, accuracy 96.875000%
step 9000 loss 0.469426, accuracy 96.875000%
step 9100 loss 0.615617, accuracy 90.625000%
step 9200 loss 0.767221, accuracy 90.625000%
step 9300 loss 0.594941, accuracy 87.500000%
final train accuracy: 88.9%
final test accuracy:  89.1%
