estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 6.2%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.11 min, lr 0.020)
    0 |     0 |   0.11 |   2.32 |     9.4%
    0 |    50 |   0.16 |   2.06 |    62.5%
    0 |   100 |   0.21 |   1.70 |    59.4%
    0 |   150 |   0.26 |   1.61 |    65.6%
    0 |   200 |   0.30 |   1.24 |    75.0%
    0 |   250 |   0.35 |   1.16 |    75.0%
    0 |   300 |   0.39 |   0.72 |    93.8%
    0 |   350 |   0.44 |   0.95 |    75.0%
    0 |   400 |   0.48 |   0.67 |    81.2%
    0 |   450 |   0.53 |   0.86 |    78.1%
    0 |   500 |   0.58 |   0.76 |    84.4%
    0 |   550 |   0.62 |   0.59 |    84.4%
    0 |   600 |   0.67 |   0.80 |    78.1%
    0 |   650 |   0.71 |   0.46 |    87.5%
    0 |   700 |   0.76 |   0.45 |    90.6%
    0 |   750 |   0.81 |   0.66 |    75.0%
    0 |   800 |   0.86 |   0.44 |    93.8%
    0 |   850 |   0.91 |   0.22 |   100.0%
    0 |   900 |   0.95 |   0.52 |    81.2%
    0 |   950 |   1.00 |   0.38 |    87.5%
    0 |  1000 |   1.04 |   0.62 |    78.1%
    0 |  1050 |   1.09 |   0.57 |    90.6%
    0 |  1100 |   1.13 |   0.33 |    93.8%
    0 |  1150 |   1.18 |   0.55 |    84.4%
    0 |  1200 |   1.22 |   0.28 |    90.6%
    0 |  1250 |   1.27 |   0.38 |    87.5%
    0 |  1300 |   1.32 |   0.42 |    81.2%
    0 |  1350 |   1.36 |   0.47 |    84.4%
    0 |  1400 |   1.41 |   0.34 |    90.6%
    0 |  1450 |   1.46 |   0.46 |    84.4%
    0 |  1500 |   1.50 |   0.31 |    93.8%
    0 |  1550 |   1.54 |   0.34 |    90.6%
    0 |  1600 |   1.59 |   0.34 |    93.8%
    0 |  1650 |   1.63 |   0.36 |    90.6%
    0 |  1700 |   1.68 |   0.69 |    87.5%
    0 |  1750 |   1.72 |   0.43 |    87.5%
    0 |  1800 |   1.77 |   0.48 |    84.4%
    0 |  1850 |   1.81 |   0.47 |    84.4%
epoch 0 done (2.48 min): test 89.7%, train 89.3%
epoch 1 started (2.48 min, lr 0.018)
    1 |     0 |   2.48 |   0.58 |    81.2%
    1 |    50 |   2.52 |   0.35 |    93.8%
    1 |   100 |   2.57 |   0.38 |    87.5%
    1 |   150 |   2.61 |   0.28 |    93.8%
    1 |   200 |   2.66 |   0.38 |    93.8%
    1 |   250 |   2.70 |   0.23 |    93.8%
    1 |   300 |   2.75 |   0.40 |    90.6%
    1 |   350 |   2.79 |   0.17 |    96.9%
    1 |   400 |   2.84 |   0.31 |    87.5%
    1 |   450 |   2.88 |   0.57 |    81.2%
    1 |   500 |   2.93 |   0.37 |    90.6%
    1 |   550 |   2.97 |   0.20 |    93.8%
    1 |   600 |   3.02 |   0.32 |    90.6%
