estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist      
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 10.3%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.10 min, lr 0.020)
    0 |     0 |   0.10 |   2.29 |    12.5%
    0 |    50 |   0.15 |   2.15 |    34.4%
    0 |   100 |   0.19 |   1.89 |    59.4%
    0 |   150 |   0.25 |   1.73 |    59.4%
    0 |   200 |   0.30 |   1.32 |    75.0%
    0 |   250 |   0.35 |   1.30 |    71.9%
    0 |   300 |   0.40 |   0.85 |    81.2%
    0 |   350 |   0.45 |   0.91 |    78.1%
    0 |   400 |   0.49 |   0.75 |    78.1%
    0 |   450 |   0.54 |   0.93 |    75.0%
    0 |   500 |   0.59 |   0.84 |    78.1%
    0 |   550 |   0.63 |   0.64 |    81.2%
    0 |   600 |   0.68 |   0.80 |    78.1%
    0 |   650 |   0.73 |   0.55 |    78.1%
    0 |   700 |   0.78 |   0.50 |    84.4%
    0 |   750 |   0.82 |   0.64 |    75.0%
    0 |   800 |   0.87 |   0.43 |    90.6%
    0 |   850 |   0.92 |   0.25 |   100.0%
    0 |   900 |   0.97 |   0.51 |    78.1%
    0 |   950 |   1.01 |   0.41 |    84.4%
    0 |  1000 |   1.06 |   0.69 |    78.1%
    0 |  1050 |   1.11 |   0.59 |    90.6%
    0 |  1100 |   1.16 |   0.32 |    90.6%
    0 |  1150 |   1.20 |   0.59 |    78.1%
    0 |  1200 |   1.25 |   0.28 |    90.6%
    0 |  1250 |   1.30 |   0.44 |    84.4%
    0 |  1300 |   1.35 |   0.39 |    84.4%
    0 |  1350 |   1.40 |   0.47 |    81.2%
    0 |  1400 |   1.45 |   0.36 |    93.8%
    0 |  1450 |   1.49 |   0.40 |    90.6%
    0 |  1500 |   1.54 |   0.31 |    93.8%
    0 |  1550 |   1.59 |   0.36 |    90.6%
    0 |  1600 |   1.64 |   0.35 |    93.8%
    0 |  1650 |   1.68 |   0.34 |    90.6%
    0 |  1700 |   1.73 |   0.66 |    81.2%
    0 |  1750 |   1.78 |   0.44 |    87.5%
    0 |  1800 |   1.82 |   0.51 |    81.2%
    0 |  1850 |   1.87 |   0.48 |    90.6%
epoch 0 done (2.55 min): test 90.1%, train 89.5%
epoch 1 started (2.55 min, lr 0.018)
    1 |     0 |   2.55 |   0.55 |    87.5%
    1 |    50 |   2.60 |   0.38 |    87.5%
    1 |   100 |   2.65 |   0.39 |    87.5%
    1 |   150 |   2.70 |   0.24 |    93.8%
    1 |   200 |   2.75 |   0.39 |    93.8%
    1 |   250 |   2.79 |   0.21 |    90.6%
    1 |   300 |   2.84 |   0.36 |    90.6%
    1 |   350 |   2.89 |   0.16 |    96.9%
    1 |   400 |   2.93 |   0.35 |    87.5%
    1 |   450 |   2.98 |   0.63 |    78.1%
    1 |   500 |   3.02 |   0.39 |    90.6%
    1 |   550 |   3.07 |   0.20 |    96.9%
    1 |   600 |   3.11 |   0.31 |    93.8%
    1 |   650 |   3.16 |   0.23 |    93.8%
    1 |   700 |   3.20 |   0.36 |    84.4%
    1 |   750 |   3.25 |   0.55 |    87.5%
    1 |   800 |   3.31 |   0.49 |    87.5%
    1 |   850 |   3.36 |   0.40 |    93.8%
    1 |   900 |   3.40 |   0.13 |    96.9%
    1 |   950 |   3.45 |   0.68 |    84.4%
    1 |  1000 |   3.50 |   0.84 |    87.5%
    1 |  1050 |   3.55 |   0.13 |    96.9%
    1 |  1100 |   3.60 |   0.16 |    93.8%
    1 |  1150 |   3.64 |   0.11 |   100.0%
    1 |  1200 |   3.69 |   0.29 |    90.6%
    1 |  1250 |   3.74 |   0.29 |    90.6%
    1 |  1300 |   3.79 |   0.45 |    87.5%
    1 |  1350 |   3.83 |   0.31 |    87.5%
    1 |  1400 |   3.88 |   0.25 |    93.8%
    1 |  1450 |   3.93 |   0.32 |    87.5%
    1 |  1500 |   3.98 |   0.16 |    96.9%
    1 |  1550 |   4.02 |   0.27 |    90.6%
    1 |  1600 |   4.07 |   0.14 |    96.9%
    1 |  1650 |   4.12 |   0.32 |    84.4%
    1 |  1700 |   4.17 |   0.50 |    93.8%
    1 |  1750 |   4.21 |   0.18 |    93.8%
    1 |  1800 |   4.26 |   0.33 |    93.8%
    1 |  1850 |   4.31 |   0.31 |    90.6%
epoch 1 done (4.99 min): test 91.5%, train 91.2%
epoch 2 started (4.99 min, lr 0.016)
    2 |     0 |   4.99 |   0.36 |    93.8%
    2 |    50 |   5.04 |   0.45 |    90.6%
    2 |   100 |   5.09 |   0.26 |    93.8%
    2 |   150 |   5.14 |   0.71 |    84.4%
    2 |   200 |   5.19 |   0.31 |    90.6%
    2 |   250 |   5.23 |   0.11 |   100.0%
    2 |   300 |   5.28 |   0.39 |    81.2%
    2 |   350 |   5.33 |   0.24 |    93.8%
    2 |   400 |   5.39 |   0.45 |    84.4%
    2 |   450 |   5.43 |   0.37 |    90.6%
    2 |   500 |   5.48 |   0.38 |    93.8%
    2 |   550 |   5.53 |   0.13 |   100.0%
    2 |   600 |   5.57 |   0.36 |    90.6%
    2 |   650 |   5.62 |   0.26 |    87.5%
    2 |   700 |   5.67 |   0.19 |    93.8%
    2 |   750 |   5.72 |   0.59 |    87.5%
    2 |   800 |   5.77 |   0.16 |    93.8%
    2 |   850 |   5.82 |   0.58 |    84.4%
    2 |   900 |   5.87 |   0.12 |    96.9%
    2 |   950 |   5.92 |   0.13 |    96.9%
    2 |  1000 |   5.96 |   0.49 |    90.6%
    2 |  1050 |   6.01 |   0.13 |    96.9%
    2 |  1100 |   6.06 |   0.27 |    90.6%
    2 |  1150 |   6.11 |   0.28 |    93.8%
    2 |  1200 |   6.16 |   0.33 |    96.9%
    2 |  1250 |   6.21 |   0.23 |    93.8%
    2 |  1300 |   6.25 |   0.22 |    93.8%
    2 |  1350 |   6.30 |   0.23 |    90.6%
    2 |  1400 |   6.35 |   0.42 |    93.8%
    2 |  1450 |   6.40 |   0.16 |    96.9%
    2 |  1500 |   6.45 |   0.23 |    93.8%
    2 |  1550 |   6.51 |   0.06 |   100.0%
    2 |  1600 |   6.56 |   0.47 |    93.8%
    2 |  1650 |   6.61 |   0.72 |    87.5%
    2 |  1700 |   6.66 |   0.28 |    87.5%
    2 |  1750 |   6.72 |   0.25 |    90.6%
    2 |  1800 |   6.77 |   0.21 |    96.9%
    2 |  1850 |   6.83 |   0.32 |    90.6%
epoch 2 done (7.54 min): test 92.3%, train 92.0%
epoch 3 started (7.54 min, lr 0.015)
    3 |     0 |   7.54 |   0.17 |    93.8%
    3 |    50 |   7.59 |   0.28 |    87.5%
    3 |   100 |   7.64 |   0.19 |    96.9%
    3 |   150 |   7.70 |   0.13 |    93.8%
    3 |   200 |   7.76 |   0.32 |    93.8%
    3 |   250 |   7.81 |   0.12 |    96.9%
    3 |   300 |   7.86 |   0.22 |    93.8%
    3 |   350 |   7.91 |   0.38 |    93.8%
    3 |   400 |   7.95 |   0.47 |    81.2%
    3 |   450 |   8.00 |   0.41 |    90.6%
    3 |   500 |   8.06 |   0.28 |    84.4%
    3 |   550 |   8.11 |   0.31 |    96.9%
    3 |   600 |   8.16 |   0.12 |    93.8%
    3 |   650 |   8.21 |   0.13 |    96.9%
    3 |   700 |   8.26 |   0.16 |    93.8%
    3 |   750 |   8.33 |   0.30 |    96.9%
    3 |   800 |   8.39 |   0.57 |    87.5%
    3 |   850 |   8.44 |   0.59 |    87.5%
    3 |   900 |   8.50 |   0.29 |    93.8%
    3 |   950 |   8.55 |   0.26 |    96.9%
    3 |  1000 |   8.60 |   0.13 |    96.9%
    3 |  1050 |   8.65 |   0.44 |    87.5%
    3 |  1100 |   8.69 |   0.55 |    90.6%
    3 |  1150 |   8.74 |   0.26 |    93.8%
    3 |  1200 |   8.78 |   0.52 |    93.8%
    3 |  1250 |   8.83 |   0.21 |    96.9%
    3 |  1300 |   8.88 |   0.12 |    96.9%
    3 |  1350 |   8.92 |   0.16 |    96.9%
    3 |  1400 |   8.97 |   0.16 |    93.8%
    3 |  1450 |   9.01 |   0.21 |    93.8%
    3 |  1500 |   9.06 |   0.15 |    96.9%
    3 |  1550 |   9.10 |   0.45 |    81.2%
    3 |  1600 |   9.15 |   0.30 |    93.8%
